Date,symbol,adjusted,close,shares_held,year,month,mktcap,day
2015-07-01,MSFT,43.873051000000004,46.700001,92220260,2015,7,4306686234.22026,1
2015-08-01,MSFT,41.155174,43.52,92220260,2015,8,4013425715.2000003,1
2015-09-01,MSFT,41.854954,44.259997999999996,92220260,2015,9,4081668523.1594796,1
2015-10-01,MSFT,49.779590999999996,52.639998999999996,92220260,2015,10,4854474394.17974,1
2015-11-01,MSFT,51.743099,54.349998,92220260,2015,11,5012170946.55948,1
2015-12-01,MSFT,52.818901000000004,55.48,92220260,2015,12,5116380024.799999,1
2016-01-01,MSFT,52.447609,55.09,92220260,2016,1,5080414123.400001,1
2016-02-01,MSFT,48.787334,50.880001,92220260,2016,2,4692166921.02026,1
2016-03-01,MSFT,52.958412,55.23,92220260,2016,3,5093324959.799999,1
2016-04-01,MSFT,47.818874,49.869999,92220260,2016,4,4599024273.97974,1
2016-05-01,MSFT,51.175594,53.0,92220260,2016,5,4887673780.0,1
2016-06-01,MSFT,49.408588,51.169998,92220260,2016,6,4718910519.7594795,1
2016-07-01,MSFT,54.728916000000005,56.68,92220260,2016,7,5227044336.8,1
2016-08-01,MSFT,55.827866,57.459998999999996,92220260,2016,8,5298976047.37974,1
2016-09-01,MSFT,55.96389,57.599998,92220260,2016,9,5311886791.55948,1
2016-10-01,MSFT,58.217987,59.919998,92220260,2016,10,5525837794.7594795,1
2016-11-01,MSFT,58.943858999999996,60.259997999999996,92220260,2016,11,5557192683.15948,1
2016-12-01,MSFT,60.78279499999999,62.139998999999996,92220260,2016,12,5730566864.17974,1
2017-01-01,MSFT,63.23798000000001,64.650002,92220260,2017,1,5962039993.44052,1
2017-02-01,MSFT,62.962017,63.98,92220260,2017,2,5900252234.799999,1
2017-03-01,MSFT,64.812111,65.860001,92220260,2017,3,6073626415.82026,1
2017-04-01,MSFT,67.370735,68.459999,92220260,2017,4,6313398907.37974,1
2017-05-01,MSFT,69.122726,69.839996,92220260,2017,5,6440662589.51896,1
2017-06-01,MSFT,68.222076,68.93,92220260,2017,6,6356742521.8,1
2017-07-01,MSFT,71.953354,72.699997,92220260,2017,7,6704412625.33922,1
2017-08-01,MSFT,74.39636999999999,74.769997,92220260,2017,8,6895308563.53922,1
2017-09-01,MSFT,74.117767,74.489998,92220260,2017,9,6869486982.95948,1
2017-10-01,MSFT,82.764351,83.18,92220260,2017,10,7670881226.8,1
2017-11-01,MSFT,84.16999799999999,84.16999799999999,92220260,2017,11,7762179099.7594795,1
2017-12-01,MSFT,85.540001,85.540001,92220260,2017,12,7888521132.62026,1
2018-01-01,MSFT,95.010002,95.010002,92220260,2018,1,8761847087.04052,1
2018-02-01,MSFT,91.33000200000001,91.33000200000001,92220260,2018,2,8422476530.2405205,1
2008-01-01,AMZN,77.699997,77.699997,4780952,2008,1,371479956.057144,1
2008-02-01,AMZN,64.470001,64.470001,4780952,2008,2,308227980.220952,1
2008-03-01,AMZN,71.300003,71.300003,4780952,2008,3,340881891.942856,1
2008-04-01,AMZN,78.629997,78.629997,4780952,2008,4,375926241.417144,1
2008-05-01,AMZN,81.620003,81.620003,4780952,2008,5,390221316.582856,1
2008-06-01,AMZN,73.33000200000001,73.33000200000001,4780952,2008,6,350587219.72190404,1
2008-07-01,AMZN,76.339996,76.339996,4780952,2008,7,364977856.556192,1
2008-08-01,AMZN,80.809998,80.809998,4780952,2008,8,386348721.558096,1
2008-09-01,AMZN,72.760002,72.760002,4780952,2008,9,347862077.081904,1
2008-10-01,AMZN,57.240002000000004,57.240002000000004,4780952,2008,10,273661702.04190403,1
2008-11-01,AMZN,42.700001,42.700001,4780952,2008,11,204146655.180952,1
2008-12-01,AMZN,51.279999,51.279999,4780952,2008,12,245167213.779048,1
2009-01-01,AMZN,58.82,58.82,4780952,2009,1,281215596.64,1
